UMAP_X,UMAP_Y,Texte,Note_Vraie,Note_Predite,Genre
3.1703918,7.245695,"&quot;A Voyage to Arcturus&quot; was David Lindsay's first andperhaps best novel (&quot;The Haunted Woman&quot; though more anovella than a novel is also very good). By thestandards of science fiction &quot;Arcturus&quot; is extremely old.It was first published in the 1920s when Lindsay waslate middle aged. Lindsay was a contemporary of JulesVerne and H.G. Wells, yet he could write in a very modern(timeless) style. The novel's age makes properappreciation somewhat problematic. The story starts outslow with the setting in a English gentleman's house withthe characters attending a sceance. The wring style forthis first part of the book is typical ofturn-of-the-century novels and gives no hint of what thereader is about to experience. When the plot moves toScotland and the characters prepare to leave Earth, thereader gets a hint that something magical is about tohappen. However once the plot gets to the planet Tormancethe story undergoes metamorphosis from dull shades of grayto brilliant colors. The reader immediately sees thatLindsay had a genius for writing speculative fiction.However this genius is difficult for a modern reader tofully appreciate because Lindsay had no real scienceficition tradition to draw from (he was creating allof his SF concepts from scratch). Though the novel isentertaining to read as a simple adventure story, it hasincredible depth. The planet Tormance is a world whereGod and Anti-God (like the Gnostic tradition) arecompeting for control of the planet. Both beings goby different names and are symbolized by differentaspects of the planet. For example, Arcturus isportrayed as being a binary star with a large orangestar symbolizing the god Shaping and smaller bluestar symbolizing the god Surtur. Each star has threeprimary colors but share one color. The influence ofthe two gods is subtly color coded throughout the novel.The principle character is named Maskul (Man/Skull).He was approached by the character Krag at the Englishgentleman's sceance and given the opportunity to travelto Tormance with the understanding that he could neverreturn to Earth. Krag's relationship between thedifferent gods of Tormance becomes clear as thestory progresses. After arriving on Tormance, Maskulbegins a journey of discovery as he travels across theplanet. The two gods try to influence Maskul throughvarious means. Maskul's journey is not unlike adetective story. He is basicly trying to unravel totruth about Tormance. However this is no easy matterbecause one of the two gods (the anti-god) is evilincarnate. This god is so wicked that he has madevirture appear to be evil, truth to be lies and himselfseem the genuine god while the true god is a pretender.All of this is done in a story where almost every objecthas two or three different forms of symoblism (some trueand some false). One can read &quot;Arcturus&quot; as a simplestory but the story is so rich that it's better to keepnotes because there is so much going on. &quot;A Voyage toArcturus&quot; is a remarkable story: It's a novel thatalmost no one has read. However it is almost unique andanyone who does read it will be permanently affected byit. David Lindsay made almost no money on this novel.When first published, &quot;Arcturus&quot; was panned in bookreviews and latter remaindered (people in the 1920s werenot ready for it). However this book has never beenout-of-print and will always have a loyal following.Gary A. Allen, Jr.",5.0,3.4800048,Fiction
15.427785,6.8766446,"(One star because zero was not an option.)I had many accomplishments during my years at university, but I must say that I have no idea how I got through this one. Other &quot;modern novels&quot; appeal to me greatly such as _Ulysses_ and _Remembrance of Things Past_, but this one is just garbage, in my mind. While I am a great defender of the right to read, and the need to read books that are detestable as part of the study of literature, I so strongly disliked this book that I keep it only as a reminder of the torture that my students face as they read literature they would never normally choose. I'm sure we each have our least favorite book, and this is most definitely mine!",1.0,1.169432,Autre
-3.081145,8.327958,"This book is wonderful and is a favorite of mine from childhood. It is especially prescient in an era where children spend so little time developing their imaginations. The children in my classroom loved it, too.",5.0,4.8886523,Juvenile Fiction
6.9671445,6.983361,"Romance novels are not my favorite genre, and when my book club selected this historical novel, I took one look at the cover and expected to be underwhelmed. I was wrong.This book has its share of hokey dialogue and tedious musings, but the scene is set so vividly, and the characters are so well drawn, that the story comes alive.Mary Ingles was a young wife and mother whose life was shattered in 1755 when Shawnee warriors destroyed her home and took her captive. She refused an offer of marriage that could have provided her with a comfortable life in the village. Instead, she endured hard labor until she was able to escape with another woman and make her way home, hundreds of miles through the rugged Allegheny Mountains.Acts of war are, by definition, horrible. The massacre, forced march, and slavery that Mary endured were no exception. Like any nation at war, the Shawnee felt their raids were justified because of the losses they had incurred as the Europeans moved in. They took prisoners as a way of boosting their decimated population. As in several European countries, the gauntlet served as an initiation rite as well as a punishment.While this doesn't excuse the brutality of the Shawnee raids, it provides food for thought. Would modern Americans be willing to put prisoners of war to the test, and then accept them as new members of their community? Has the treatment of POWs worldwide improved in the past 250 years?I have lived in, and visited, various places along the New, Kanawha, and Ohio rivers, and the descriptions of the terrain are dead accurate. I found myself looking at the map in the front of the book and wishing it contained more present day place names. A little research revealed that Draper's Meadows has now grown into Blacksburg, VA, and the salt lick with the huge bones was located in Kentucky.The only part of this story that didn't ring true for me was that Mary and Gretel made this trek in late fall and early winter with little to no clothing. Many times, I've walked in the rain all day when the high temperature was 50 degrees, and then slept under a tarp, well fed, wearing long johns, in a warm sleeping bag. Even after hours in that sleeping bag, a few times I've been dangerously close to hypothermia. I cannot believe that they waded in the river, walked in the rain, then lay down almost naked in a pile of leaves under a log, and lived to continue their trek. I have to think that the secret of their survival has been lost over the past two and a half centuries.Even if Mary and her companion had more food and clothing than this book tells us, their journey was an amazing feat of courage and perseverance. I couldn't stop reading until I ran out of pages.",4.0,2.807559,Inconnu
11.095549,7.252215,"I suppose the story of a remorseless, self justifying, ultimately clueless serial killer whose mental illness is explained by some semi-freudian silliness was edgy in 1952, but 60 years later it's mostly a drag. This is an unrelentingly tedious, (will this guy ever shut up?), ridiculously plotted, and ultimately predictable book that seems to exist mostly so that Mr. Thompson could write some lovingly detailed scenes where women are beaten to a pulp by his hero. Contrary to the NYT review quoted above, there is nothing here remotely suspenseful. Every punch is telegraphed, every outcome obvious before the book is halfway finished.I gave it one extra star, because as another reviewer noted, there is a point where the hero/narrator crosses over from giving a somewhat reliable interpretation of actual events to total loonyland, and I thought that bit was handled pretty well. But there's a reason this was originally published as a 25 cent paperback- it was silly, titillating nonsense for people who didn't want to have to think too hard, and it hasn't gotten better with age. There's nothing wrong with reading as a way to kill time, but this one doesn't even manage to be entertaining.",2.0,2.000577,Fiction
12.205653,7.196857,I bought this book to help with RH5.1 configuration and PPP dial up to my ISP&gt; I found nothing about day to day operations and nothing was in there about diapup. I do not recmmend this book to anyone and I think I will wait till the new edition fo the unleashed Redhat linux book comes out.,1.0,1.262767,Autre
-3.3434403,7.940686,"The Notebook is the love story of Noah and Allie. The two meet when they are teenagers and fall in love. They parted after the summer was over but never forgot each other. Eventually they find their way back to each other and live a wonderful, romantic, perfect life full of thier love for each other. However, Allie develops Alzheimer's and her memory of this perfect love and life fade. Noah moves into the nursing home with Allie and visits her everyday reading her stories from a notebook. Their story. The story of their wonderful life together and the amazing love that they shared.The Notebook is truly a story of everlasting love and the power it possesses. Grab a box of tissues before you sit down with this excellently written novel.",5.0,4.515719,Computers
14.603128,6.2116165,"Lily Tuck is in the worst situation possible for a writer - she finds herself surrounded by people who tell her what a wonderful book she has written, but, alas, it is not true at all. The prose is flat (not spare) and the characters are painfully lifeless, reduced to making a series of gestures and comments that never come to life on the page, nor in this reader's mind. Sadly overhyped, this novel is to be ignored and Ms. Tuck needs to hear the truth from an objective public.",1.0,1.2552017,Fiction
-0.5224209,8.046231,"Mr. Galsworthy serves up the Forsyte Saga as a sumptuous meal of rich descriptions and savory characters in delightful, bite-size pieces. It is a long read, however, because of such rich character development, these people and their personalities become a subliminal attachment to the reader's circle of friends and acquaintances. Its okay if one is unable to read continuously, because one knows their secrets and stories will keep, and every bit of gossip and story will be saved for the next installment. Galsworthy's story literally leaves the reader hungering for the rest of the story.Why? Galsworthy brillantly reveals the strengths and weaknesses of each of the primary players. While he exposes Soames arrogance and pride, he also reveals Soames confusion, denial, and disbelief, thereby humanising the otherwise 'man of property.' When Irene suggests to Soames the option of dissolving their marriage before they have married, that is, if she is unhappy, one is prompted to read on, carefully, for the clues that explain and support how this might occur.Indeed, this is an oldie... but like a fabulous dessert, it is worth the wait.",5.0,4.0751247,Fiction
14.576284,7.4791875,"When I bought this book the synopsis sounded interesting but I would have bought it anyway since Mercedes Lackey's name was on the cover. What a disappointment. The story was good as far as it went, which was one chapter, but it just kept repeating and repeating and repeating ad nauseum. When I finished what I thought was the first chapter I was intrigued and curious to see how the story would be developed. It wasn't. After the third rewriting of the story I put the book where it belonged, in the garbage. This was an extremely disappointing story. I also expected to find more development of the significance of Lammas (August eve). I obviously do not recommend this book to anyone.",1.0,1.4001493,Fiction
6.5750384,7.486439,"I enjoyed this book in retrospect but it was not an easy book to read. I would really rate it at 3.5 stars and in reading the other reviews posted, I also note that it is certainly not a book for every one. The book is heavily segmented in short, bursty chapters that shift from one subject to another like a worn out party drunk who can't finish a thought or make a continuous series of points. The story really doesn't flow as it is constantly interrupted by Melville's soliloquies on history, art, culture, and philosophy. However, there is a mosaic effect to the work that is only gained in retrospect, which is actually quite impressive. Overall, the book is definitely worth reading, but expect to either appreciate it after you've read it or not to like it at all.",3.0,3.0042648,Autre
12.764107,6.944542,"When this book first came out it had so many errors that it was recalled and reprinted and supposedly corrected. (Or so I read on a message board). I own the 2nd printing.I really like Alton Brown. I admire and respect him. I think he's a wonderful person (I've met him), a great educator, and a good cook. But this book makes me embarrassed for him. I have the version that is supposedly ""corrected"". Yet each time I make a recipe there are so many mistakes I'm scared to make another. I've made the bread recipes and each and every one has ""issues"". I have written myself a note in the book to not make any more recipes but to use the book as a reference and a learning tool. As a ""why does this happen"" book, it's great. If you make any of the recipes, proceed with caution. The Focaccia recipe on page 260 is great, if you add an extra cup of water. Eat is right out of the oven. Yum!",1.0,2.0086582,Autre
6.6884923,7.4171257,"This book was okay, but it basicaly gave me no real information on dealing with transitions. I thought it would be much more in depth than it was and came from it, not too impressed. I think a little more effort into the book and could of been really good.",2.0,2.971378,Autre
3.421016,7.162846,"Mr. Cleaver seems to have been a very conflicted man. In this book he discusses his predicaments in his life and how he feels he came about them. He discusses his imprisonment, his life thereof and how he ended up there. He also shares his ideas on everything from corrupt government to his feelings about his convicted rapings of white women. I don't always agree with some of his views but they are very powerful nonetheless. If you are at all interested in the writings of Mr. Cleaver and have not read this book, I highly suggest that you do. To better understand his mindset. A very interesting book.",4.0,3.4703076,Autre
0.3028189,8.35324,Personally I went to see the movie becuz of Gilly. But I was impressed with her acts and so I decided to get hold of a copy of the original book. I have the admit the wirtings from Ms. Wharton is not worse then the Bronte sisters. Edith Wharton lively descripted the charcter of Lily Bart. Which Lily has amazingly captured everyone's heart. The movie is good but I think the book has more events about Lily's stwerdship and love. Especially the relationship with Selden and Tuz. I highly recommend this book to you and I know it will not fail your expectations,5.0,4.167368,Fiction
8.281355,7.492171,"Van Loon's book has been a staple of family reading hour for decades, and more recently it has received renewed circulation among homeschooling families. Originally written in 1921, this story of civilization has been continuously updated, not always profitably. What's below is an excerpt from the current edition:""The civil rights movement escaped another defeat when the Reagan administration's attempt to grant tax exemptions to schools that discriminate against blacks failed. The economic future of young blacks remained bleak, as they continued to suffer the highest unemployment rate in the United States, while the government reduced many of the welfare programs that had helped the poor subsist.""Readers seeking a less partisan history are advised to find an older edition or to obtain E.H. Gombrich's excellentA Little History of the World, recently released by Yale University Press in an English edition.",1.0,2.2695253,Autre
2.209407,7.965588,"This book was my very first graphic novel. I'll be honest, after the greatness that is Batman Begins was released in theaters, I had to see where this origin came from in the first place. Frank Miller's Batman: Year One is what I found, and it does not disappoint in any imaginable way.The art is excellent and surprisingly vivid after seeing shots from the Sin City comics, also by Frank Miller. The story is equally fantastic, providing not only Batman's origin, but a background on several very prominent characters within the Gotham City universe, including the future commissioner Gordon and even Catwoman. Other familiar names are mentioned in the characters' speech as well.It's really difficult to find any flaws in this book. The Catwoman story felt a little tacked on, but this detail is miniscule. Each and every frame is crafted to perfection, making this a must-own for all who enjoy graphic novels, and especially Batman.",5.0,4.3843336,Autre
-2.707434,8.102888,"It amazes me that it took me so long to discover Ayn Rand and her phenomenal works. No one ever mentioned her in school to me, not even in my graduate work for my Ph.D. She seems to be ignored by the academic establishment, yet she is probably the most powerful American writer of the twentieth century, and if any novel deserves the title of The Great American Novel, it is Atlas Shrugged. Gone With the Wind, Huckleberry Finn, or any other contenders for that title are admirable books that depict an era in American history, but they are completely lacking in depicting the magnificent ideology that this novel promotes, one that is at the foundation of what America stands for and are in many ways more clearly defined in the pages of Atlas Shrugged than in the Declaration of Independence and the U.S. Constitution. Atlas Shrugged should be read by all our politicians and government officials and university leaders. Ayn Rand's novel is a great monument to capitalism, to freedom, to man's right to pursue happiness and knowledge and live without fear. And rather than simply show what is right with capitalism, she depicts what would happen if the capitalist way did not flourish in society.Ayn Rand has been misunderstood by people who have not bothered to know anything about her. I have heard some people think she was a communist because she came from Russia, when in actually she lived through the Russian Revolution and saw the devastating effects it had upon her people, making her all the more embrace democracy and capitalism and come to the United States. It is also said she was an atheist, yet in Atlas Shrugged she makes no comments about the existence of God but simply refutes arguments that man is born in original sin and must give his life to serve others at the expense of his own happiness.In her own words, Ayn Rand states: ""My philosophy, in essence, is the concept of man as a heroic being, with his own happiness as the moral purpose of his life, with productive achievement as his noblest activity, and reason as his only absolute."" After reading Atlas Shrugged, I am convinced by this argument. I wonder what kind of a travesty it is that she is not read in the high schools and universities of America; despite this, her books sell hundreds of thousands of copies each year, a quarter century after her death. If you want a book you can't put down (it's over one thousand pages yet I read it in five days over a vacation), read this novel. If you want to understand what America is and can be, read this novel. If you want to know that your life is of value, and you have the right to pursue your own happiness, read this novel. Atlas Shrugged is one of those very rare books that change lives because Rand poured her life and thought into writing it, and after half a century it is as monumental and relevant as ever.- Tyler R. Tichelaar, author of Iron Pioneers and The Queen City, available on Amazon",5.0,4.539947,Inconnu
3.264666,7.2464786,"I am an African-American whose wife is a native of Vermont. Having visited the State many times, I've become quite fond of its mountains, its small, clean towns and its people. I, therefore, was particularly interested in how the author would handle the story of an orphaned African-American boy in 90%+ white Vermont in his book, ""The Buffalo Soldier.""The book is one I'm sure to re-read many times. The characters, as appropriate to the story line, are especially well developed -- and, as such, the type one can really ""feel"" for and care about, even Russell, the wayward brother of the main male character.Having read a great deal of history and fiction about the ""real"" Buffalo Soldiers, I thought the inserts of correspondence to and / or about Sergeant George Rowe, a Buffalo Soldier, added an extra dimension to the story. It reinforces ones emotional ties to the orphan boy, Alfred, and bespeaks volumes, historically speaking, about the somewhat orphaned status of the Buffalo Soldiers on the Western Plains.The author ended his story in such an upbeat, optimistic manner on Alfred -- ""...the immense thrust [of the horse] invisible to anyone but the boy on the creature's back -- he was rising, rising rising ... And Aloft"" -- that I feel he must write a sequel describing the teenage years and young manhood of Alfred. Hopefully we'll all be so fortunate!In short, I thoroughly enjoyed the book...",4.0,3.993937,Fiction
7.9927435,7.0703435,"I was a teenager when I first picked this book up. It was in the middle of the First Great Flood of Hype in the late nineties and everyone from your five-year-old niece to your postman was reading it with inexplicable fervour. It was the Fifty Shades of Grey of its day. Er... sort of.I remember immediately being bored by it, and I remember thinking, even then, that it was poorly written. But what would a fourteen-year-old have known about prose? I came back to this book recently, and it seemed quite different from the text I recalled. Not only was the wording subtly altered, but it was full of Americanisms. Now, I don't have a problem with American slang or spelling, actually I kinda (see what I did there?) like it. But it just seemed to jar with what was supposed to be a distinctly British book. Trash can lids? Regular? Wut? Did the publishers think that American readers would not be able to understand Britishisms (Philosopher - Sorcerer?)? I don't know what possessed them to do that. Would you translate Charles Dickens' books into American English? No.Just so that you can be as annoyed about this as I was, I'm going to include alternative (alternate) spellings in the rest of this review.Anyway, back to the style of the writing. The edited version I have here isn't too bad, to be fair. It doesn't have the long, rambling and contorted style of Dan Brown, and it's not quite as irritatingly brainless as E.L. James. But... it is... pedestrian. There are a great many (a whole bunch of) adverbs and verbs that are unnecessary. Yes, it's a kid's book, but they've got to learn about nice writing somewhere. And there are so many fabulous examples of literature, aimed at children, that are beautifully written.Here is the first line of Chapter IV, taken from Oliver Twist: ""In great families, when an advantageous place cannot be obtained, either in possession, reversion, remainder, or expectancy, for the young man who is growing up, it is a very general custom to send him to sea.""It's an old-fashioned style of writing: lots of commas and wordilicious. But it has rhythm and it has eloquence. Note also that it has the same structure as Jane Austen's famous opening line in Pride and Prejudice. The vocabulary is great, not too complex and not too simple. Children are very good at working out the meanings of words through context, and this is a great example of something with a touch of (a whole bunch of) a challenge to it.Here is the first line from Chapter 4 of Alice in Wonderland: ""It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself `The Duchess! The Duchess! Oh my dear paws! Oh my fur and whiskers! She' ll get me executed, as sure as ferrets are ferrets! Where CAN I have dropped them, I wonder?'""As with much of this book - utter madness. The language isn't very challenging or poetic in this example, but it does have that rhythm that makes it pleasurable to read. The clauses are short, similar lengths and they are punctuated. This is what gives the sentence instant animation.Now let's look at the first line from Chapter 4 of Harry Potter #1: ""BOOM.""That's it.Want some more? Okay (OK), let's give Rowling a chance: ""BOOM. They knocked again. Dudley jerked awake. ""Where's the cannon?"" he said stupidly.""Yes (yeah), that's a great way to open a chapter. Let's start off with a bang (this is permissible), and then list a load (a whole bunch) of actions. Whom was this written for, a three-year-old? Because that is what it reminds me of - one of those picture books with really simple sentences that list the main characters' actions. Bah (gah)!Maybe I'm being too critical. After all, this is a book that has sold millions and millions of copies. What I write here will not change that, and probably won't harm future sales a jot (a bunch). It has to have something going for it, surely?-It has a plot that has captured the imaginations of its many readers.This must be true. But then I think of the sitcom Friends. That captured the imaginations of millions, but it was unfunny and crap, and didn't really improve my life or the lives of society at large. Also, I wanted to punch Ross in the face.-It has humo(u)r.Yes (yeah). I will give Rowling some kudos for that. Wit is one of the greatest indications of intelligence and serves to unite us all. Let us rejoice in her sense of humo(u)r. Ho ho (ha ha).-It has a plot with no holes or areas of improbable logic.Google `Harry Potter Plot Hole' and you'll get 408,000 results. Be sure to leave your `safe search' on.-It entertains people.Okay (OK), I have to give Rowling her dues (props) here. She's entertained millions of people around the world and given them something to talk about other than chips (fries). There has to be more in the world to talk about than cooked potato. I suppose (guess) that, if something gives someone joy in their life than that must be a good thing.I think I'm just upset that, even after picking this new, edited version up thirteen years after I tried the original, I still get no joy out of it.",2.0,2.5398955,Juvenile Fiction
-1.1850091,8.861774,"A thoroughly enjoyable page-turner that kept me guessing until the end! I couldn't put it down. Reece's character develops with a complexity that befits someone who has suffered a horrendous emotional trauma. I like that Brody's character is not the perfect man but rather is a bit rough around the edges, with a few flaws, though I would have liked his character to have had a bit more background to flesh it out. The relationship between Reece and Brody clicks in spite of (or because of?) their imperfections and quirks. Their chemistry is irresistible. The mystery/suspense is well done without being too graphic or violent. As usual, Nora's research in setting her story shines through. I could visualize the majestic peaks and fields of sage and wildflowers with absolute clarity - what a delightful escape from the heat of summer! A definite keeper for my permanent collection.",5.0,4.4288898,Fiction
11.3739,6.90455,"There is no theological realities in this book. Got to hand it to Joe, though, he was clever!",1.0,1.9329395,Religion
0.7466804,7.5748606,"In for a pence, in for a pound: that's probably the attitude of some weary readers who managed to finish the first volume of Stephenson's Baroque Cycle and who surrender to the elaborate pleasures and long-winded aggravations of the second. And ""The Confusion"" has lots about pennies and pounds--long passages about coinage in general and bills of exchange and the development of paper currency in seventeenth-century Europe. At the outset, we are reintroduced to Jack Shaftoe, who is groggily emerging from a venereal-induced mental coma to an awareness of his now-inconvenient slave status. His swashbuckling adventures are chronicled in the section called ""Bonanza"" and Jack's bounty represents the old currency: he captures a ship filled with gold. Meanwhile, in ""The Juncto,"" Eliza, the former odalisque promoted to royal courtesan, is deviously cornering the market on the new paper currency in an elaborate scheme torn out of the pages of Early Modern Banking for Dummies. The two sections are ""con-fused""; Stephenson alternates passages for each of them as the drama unfolds in time.I realize it's churlish to carp about Stephenson's logorrheic excesses; that, after all, is the intent of the Baroque Cycle, which is less a commitment than a time-suck. The author is to some extent imagining what Fernand Braudel's massive ""Civilization and Capitalism"" might have looked like had it been novelized (or con-fused) by Alexandre Dumas. Neither Braudel nor Dumas were known for conciseness and, unsurprisingly, Stephenson confirms the influence of both his authors in the acknowledgments.In spite of these antecedents, however, Stephenson has repeatedly and somewhat pointlessly insisted that the Baroque Cycle is science fiction. Sure, there is much ado about the debate between Leibniz and Newton over who first came up with the calculus, along with a steampunkish subplot regarding the invention of a primitive calculating machine and many ""phantastickal"" references to alchemy, but the science here is both soft and tangential. Instead, the Cycle falls smack in the middle of the spectrum of historical fiction bounded, at one end, by the traditionalism of Hervey Allen's ""Anthony Adverse"" and, at the other, by the postmodernism of Thomas Pynchon's ""Mason & Dixon."" Stephenson's opus shares many elements with Pynchon's: set only a few decades apart, both works revel in a tonnage of punnage and folksy anachronisms; the same real-life characters (or their relatives) flit across the stage; both authors describe thematically the dawn of a new era--Stephenson, the Age of Commerce; Pynchon, the Age of Reason.But unlike Pynchon, who sends his readers scrambling to reference sources with every paragraph, Stephenson is inclined to elucidate every obscure fact--and I mean everything--for his readers. Stephenson's prose reads at times like the lectures of an ebullient high school social studies teacher: ""Isn't history FUN?"" Add some explosions, swordfights, intrigues, geekery, pirates and harems, and dialogue that mimics the idiom of a post-Renaissance Ridgemont High, and you'll keep everyone interested even when the material itself mires in trivia. What he neglects in the Baroque Cycle, however, is any attempt at creating believable human characters: both Jack and Eliza are so far-fetched that they may as well be cartoon superheroes: Jack plays the globe-trotting Iron Man to Eliza's brainy Wonder Woman. (I suppose this is the real sci-fi aspect.)If it weren't so much fun--and don't get me wrong, it is a lot of fun--""The Confusion"" would be simply ludicrous. It's the guiltiest of pleasures.",4.0,3.6934912,Fiction
14.952788,7.631476,THIS BOOK MEANS ALOT AND I'D LIKE TO READ THE CLASSIC FOR NOTHING.. BUT THIS COPY HAS MORE GRAMMATICAL ERRORS ISN'T FROM A KINDERGARTNER.COME ON..,1.0,1.301641,Autre
